%time,field.x,field.y,field.z
1456328990002053976,-1.07440009713e-05,-2.35457390547e-05,2.15724572539e-05
1456328990022233009,-1.09754517674e-05,-2.37388983369e-05,2.1493665874e-05
1456328990042707920,-1.09519951046e-05,-2.35377401114e-05,2.15708747506e-05
1456328990062994003,-1.13099083304e-05,-2.36140981317e-05,2.12734416127e-05
1456328990083106994,-1.13256156445e-05,-2.35106989741e-05,2.12317973375e-05
1456328990104271888,-1.15015566349e-05,-2.35268160701e-05,2.12227940559e-05
1456328990124619960,-1.1716260761e-05,-2.35775262117e-05,2.10380062461e-05
1456328990144593000,-1.18834026158e-05,-2.34993040562e-05,2.0915658772e-05
1456328990164659023,-1.21706739068e-05,-2.36048266292e-05,2.08111763e-05
1456328990184801101,-1.22259251773e-05,-2.34703764319e-05,2.07047909498e-05
1456328990205038070,-1.25933632255e-05,-2.3567545414e-05,2.06236243248e-05
1456328990225202083,-1.28559306264e-05,-2.34185129404e-05,2.04195484519e-05
1456328990245285987,-1.30454033613e-05,-2.35438108444e-05,2.00600147247e-05
1456328990266526937,-1.32209017873e-05,-2.36328631639e-05,1.99880853295e-05
1456328990286667108,-1.35480388999e-05,-2.35466435552e-05,1.98644891381e-05
1456328990306725025,-1.39619454741e-05,-2.35670074821e-05,1.95658355951e-05
1456328990327069044,-1.3968655467e-05,-2.3649713397e-05,1.93829834461e-05
